1108: done 1 games, mean reward -18.000, eps 1.00, speed 206.00 f/s, time till now 5.379 s
1870: done 2 games, mean reward -19.500, eps 0.99, speed 708.41 f/s, time till now 6.454 s
2782: done 3 games, mean reward -20.000, eps 0.99, speed 705.97 f/s, time till now 7.746 s
3632: done 4 games, mean reward -20.250, eps 0.98, speed 704.19 f/s, time till now 8.953 s
4581: done 5 games, mean reward -20.200, eps 0.98, speed 709.31 f/s, time till now 10.291 s
5555: done 6 games, mean reward -20.333, eps 0.98, speed 703.89 f/s, time till now 11.675 s
6454: done 7 games, mean reward -20.286, eps 0.97, speed 712.44 f/s, time till now 12.937 s
7276: done 8 games, mean reward -20.375, eps 0.97, speed 706.73 f/s, time till now 14.100 s
8221: done 9 games, mean reward -20.333, eps 0.96, speed 685.99 f/s, time till now 15.477 s
9106: done 10 games, mean reward -20.300, eps 0.96, speed 676.22 f/s, time till now 16.786 s
10081: done 11 games, mean reward -20.273, eps 0.96, speed 442.07 f/s, time till now 18.992 s
11147: done 12 games, mean reward -20.167, eps 0.95, speed 107.28 f/s, time till now 28.929 s
12162: done 13 games, mean reward -20.077, eps 0.95, speed 106.94 f/s, time till now 38.420 s
12952: done 14 games, mean reward -20.143, eps 0.94, speed 106.88 f/s, time till now 45.811 s
13831: done 15 games, mean reward -20.200, eps 0.94, speed 106.47 f/s, time till now 54.067 s
14761: done 16 games, mean reward -20.188, eps 0.94, speed 107.44 f/s, time till now 62.724 s
15601: done 17 games, mean reward -20.176, eps 0.93, speed 106.14 f/s, time till now 70.638 s
16424: done 18 games, mean reward -20.222, eps 0.93, speed 107.65 f/s, time till now 78.283 s
17335: done 19 games, mean reward -20.263, eps 0.93, speed 105.38 f/s, time till now 86.928 s
18266: done 20 games, mean reward -20.300, eps 0.92, speed 105.62 f/s, time till now 95.742 s
19176: done 21 games, mean reward -20.333, eps 0.92, speed 105.31 f/s, time till now 104.384 s
20174: done 22 games, mean reward -20.364, eps 0.91, speed 105.52 f/s, time till now 113.842 s
21075: done 23 games, mean reward -20.391, eps 0.91, speed 104.76 f/s, time till now 122.443 s
21883: done 24 games, mean reward -20.417, eps 0.91, speed 105.96 f/s, time till now 130.068 s
22793: done 25 games, mean reward -20.440, eps 0.90, speed 106.04 f/s, time till now 138.650 s
23573: done 26 games, mean reward -20.462, eps 0.90, speed 105.09 f/s, time till now 146.072 s
24593: done 27 games, mean reward -20.481, eps 0.90, speed 104.60 f/s, time till now 155.823 s
25539: done 28 games, mean reward -20.429, eps 0.89, speed 106.10 f/s, time till now 164.739 s
26626: done 29 games, mean reward -20.379, eps 0.89, speed 105.65 f/s, time till now 175.028 s
27388: done 30 games, mean reward -20.400, eps 0.88, speed 103.98 f/s, time till now 182.356 s
28758: done 31 games, mean reward -20.355, eps 0.88, speed 104.04 f/s, time till now 195.524 s
29662: done 32 games, mean reward -20.344, eps 0.88, speed 103.83 f/s, time till now 204.231 s
30645: done 33 games, mean reward -20.364, eps 0.87, speed 105.38 f/s, time till now 213.558 s
31544: done 34 games, mean reward -20.382, eps 0.87, speed 105.35 f/s, time till now 222.092 s
32428: done 35 games, mean reward -20.400, eps 0.87, speed 105.17 f/s, time till now 230.498 s
33597: done 36 games, mean reward -20.389, eps 0.86, speed 105.07 f/s, time till now 241.624 s
34447: done 37 games, mean reward -20.405, eps 0.86, speed 102.84 f/s, time till now 249.889 s
35344: done 38 games, mean reward -20.395, eps 0.85, speed 105.50 f/s, time till now 258.391 s
36196: done 39 games, mean reward -20.410, eps 0.85, speed 104.96 f/s, time till now 266.509 s
36977: done 40 games, mean reward -20.425, eps 0.85, speed 105.20 f/s, time till now 273.933 s
37799: done 41 games, mean reward -20.439, eps 0.85, speed 105.36 f/s, time till now 281.735 s
38695: done 42 games, mean reward -20.429, eps 0.84, speed 105.12 f/s, time till now 290.258 s
39624: done 43 games, mean reward -20.442, eps 0.84, speed 105.41 f/s, time till now 299.072 s
40525: done 44 games, mean reward -20.432, eps 0.83, speed 104.43 f/s, time till now 307.699 s
41315: done 45 games, mean reward -20.444, eps 0.83, speed 104.51 f/s, time till now 315.258 s
42247: done 46 games, mean reward -20.413, eps 0.83, speed 105.62 f/s, time till now 324.082 s
43241: done 47 games, mean reward -20.404, eps 0.83, speed 106.77 f/s, time till now 333.392 s
44064: done 48 games, mean reward -20.417, eps 0.82, speed 107.85 f/s, time till now 341.024 s
